pmcid,pmid,doi,title,journal,publication_year,license
9294344,35865749,10.3389/fnagi.2022.826175,Abnormalities in the Fractional Amplitude of Low-Frequency Fluctuation and Functional Connectivity in Parkinson's Disease With Excessive Daytime Sleepiness,Front Aging Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
9489854,36159925,10.3389/fpsyt.2022.963634,"Altered dynamic functional connectivity of auditory cortex and medial geniculate nucleus in first-episode, drug-naïve schizophrenia patients with and without auditory verbal hallucinations",Front Psychiatry,2022,https://creativecommons.org/licenses/by/4.0/
6954277,31924769,10.1038/s41467-019-13785-z,Pain-free resting-state functional brain connectivity predicts individual pain sensitivity,Nat Commun,2020,http://creativecommons.org/licenses/by/4.0/
7822072,32861790,10.1016/j.neuroimage.2020.117306,One season of head-to-ball impact exposure alters functional connectivity in a central autonomic network,Neuroimage,2020,http://creativecommons.org/licenses/by-nc-nd/4.0/
7509229,32950903,10.1016/j.nicl.2020.102431,Altered dynamic effective connectivity of the default mode network in newly diagnosed drug-naïve juvenile myoclonic epilepsy,Neuroimage Clin,2020,http://creativecommons.org/licenses/by-nc-nd/4.0/
9556524,36224244,10.1038/s41598-022-21557-x,Resting-state functional connectivity predicts motor cortex stimulation-dependent pain relief in fibromyalgia syndrome patients,Sci Rep,2022,https://creativecommons.org/licenses/by/4.0/
8413803,34124853,10.1002/brb3.2239,The degeneration changes of basal forebrain are associated with prospective memory impairment in patients with Wilson's disease,Brain Behav,2021,https://creativecommons.org/licenses/by/4.0/
6362052,30718628,10.1038/s41598-018-37863-2,Segmented Echo Planar Imaging Improves Detection of Subcortical Functional Connectivity Networks in the Rat Brain,Sci Rep,2019,http://creativecommons.org/licenses/by/4.0/
8267862,34248608,10.3389/fnagi.2021.691710,Resting-State Functional Connectivity Signatures of Apathy in Community-Living Older Adults,Front Aging Neurosci,2021,https://creativecommons.org/licenses/by/4.0/
7779373,32771617,10.1016/j.neuroimage.2020.117226,Modelling subject variability in the spatial and temporal characteristics of functional modes,Neuroimage,2020,http://creativecommons.org/licenses/by/4.0/
7923310,33648569,10.1186/s13229-021-00415-z,Towards robust and replicable sex differences in the intrinsic brain function of autism,Mol Autism,2021,http://creativecommons.org/licenses/by/4.0/
6185852,30312350,10.1371/journal.pone.0205693,Functional network connectivity is altered in patients with upper limb somatosensory impairments in the acute phase post stroke: A cross-sectional study,PLoS One,2018,http://creativecommons.org/licenses/by/4.0/
9207998,35733425,10.1162/netn_a_00239,Functional connectivity of fMRI using differential covariance predicts structural connectivity and behavioral reaction times,Netw Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
10137025,37190561,10.3390/brainsci13040596,Classification of Migraine Using Static Functional Connectivity Strength and Dynamic Functional Connectome Patterns: A Resting-State fMRI Study,Brain Sci,2023,https://creativecommons.org/licenses/by/4.0/
7268063,32173976,10.1002/hbm.24947,Bootstrapping promotes the RSFC‐behavior associations: An application of individual cognitive traits prediction,Hum Brain Mapp,2020,http://creativecommons.org/licenses/by/4.0/
6132917,30132078,10.1007/s00702-018-1916-y,Clinical pain and functional network topology in Parkinson’s disease: a resting-state fMRI study,J Neural Transm (Vienna),2018,http://creativecommons.org/licenses/by/4.0/
6908867,31697455,10.1002/brb3.1431,Resting‐state functional connectivity modulates the BOLD activation induced by nucleus accumbens stimulation in the swine brain,Brain Behav,2019,http://creativecommons.org/licenses/by/4.0/
6291517,30574065,10.3389/fnins.2018.00917,Altered Default Mode and Sensorimotor Network Connectivity With Striatal Subregions in Primary Insomnia: A Resting-State Multi-Band fMRI Study,Front Neurosci,2018,http://creativecommons.org/licenses/by/4.0/
7517519,33286662,10.3390/e22080893,Separated Channel Attention Convolutional Neural Network (SC-CNN-Attention) to Identify ADHD in Multi-Site Rs-fMRI Dataset,Entropy (Basel),2020,http://creativecommons.org/licenses/by/4.0/
9482642,36115833,10.1038/s41398-022-02152-0,Prediction of remission among patients with a major depressive disorder based on the resting-state functional connectivity of emotion regulation networks,Transl Psychiatry,2022,https://creativecommons.org/licenses/by/4.0/
6459927,30976115,10.1038/s41598-019-42361-0,Causal Interactions in Human Amygdala Cortical Networks across the Lifespan,Sci Rep,2019,http://creativecommons.org/licenses/by/4.0/
9428716,36061606,10.3389/fnins.2022.965937,Temporal-spatial dynamic functional connectivity analysis in schizophrenia classification,Front Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
7506052,33013646,10.3389/fneur.2020.00977,Cerebral Functional Manipulation of Repetitive Transcranial Magnetic Stimulation in Cognitive Impairment Patients After Stroke: An fMRI Study,Front Neurol,2020,http://creativecommons.org/licenses/by/4.0/
8941113,35318429,10.1038/s41598-022-08975-7,Characteristic functional cores revealed by hyperbolic disc embedding and k-core percolation on resting-state fMRI,Sci Rep,2022,https://creativecommons.org/licenses/by/4.0/
9530634,36203841,10.3389/fpsyt.2022.959696,Alteration of resting-state functional connectivity network properties in patients with social anxiety disorder after virtual reality-based self-training,Front Psychiatry,2022,https://creativecommons.org/licenses/by/4.0/
9098424,35551490,10.1038/s41598-022-11859-5,Static magnetic field stimulation over motor cortex modulates resting functional connectivity in humans,Sci Rep,2022,https://creativecommons.org/licenses/by/4.0/
8654544,34899970,10.1155/2021/7749540,Application of Magnetic Resonance Imaging of Patients with Concussion in Clinical Emergency,Comput Math Methods Med,2021,https://creativecommons.org/licenses/by/4.0/
8176119,34093290,10.3389/fpsyt.2021.681701,Altered Resting-State Brain Activity in Schizophrenia and Obsessive-Compulsive Disorder Compared With Non-psychiatric Controls: Commonalities and Distinctions Across Disorders,Front Psychiatry,2021,https://creativecommons.org/licenses/by/4.0/
8213933,33998178,10.1002/brb3.2174,Co‐activation pattern alterations in autism spectrum disorder–A volume‐wise hierarchical clustering fMRI study,Brain Behav,2021,https://creativecommons.org/licenses/by/4.0/
7071874,32210565,10.2147/NDT.S239013,Differentiating Boys with ADHD from Those with Typical Development Based on Whole-Brain Functional Connections Using a Machine Learning Approach,Neuropsychiatr Dis Treat,2020,http://creativecommons.org/licenses/by-nc/3.0/
6438928,30967767,10.3389/fnhum.2019.00087,Migraine in the Young Brain: Adolescents vs. Young Adults,Front Hum Neurosci,2019,http://creativecommons.org/licenses/by/4.0/
6393449,30814558,10.1038/s41598-019-39367-z,Association between Thalamocortical Functional Connectivity Abnormalities and Cognitive Deficits in Schizophrenia,Sci Rep,2019,http://creativecommons.org/licenses/by/4.0/
9677126,36420312,10.3389/fnagi.2022.997231,Altered hippocampal functional connectivity after the rupture of anterior communicating artery aneurysm,Front Aging Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
